state,year,unemployment_rate,state_min_wage
ALABAMA,1976,6.7,0.0
ALABAMA,1977,7.1499999999999995,0.0
ALABAMA,1978,6.408333333333334,0.0
ALABAMA,1979,7.2250000000000005,0.0
ALABAMA,1980,8.816666666666666,0.0
ALABAMA,1981,10.691666666666668,0.0
ALABAMA,1982,13.950000000000001,0.0
ALABAMA,1983,13.816666666666668,0.0
ALABAMA,1984,11.283333333333333,0.0
ALABAMA,1985,9.541666666666666,0.0
ALABAMA,1986,9.566666666666666,0.0
ALABAMA,1987,8.183333333333334,0.0
ALABAMA,1988,7.2749999999999995,0.0
ALABAMA,1989,7.0,0.0
ALABAMA,1990,6.825,0.0
ALABAMA,1991,7.325,0.0
ALABAMA,1992,7.5249999999999995,0.0
ALABAMA,1993,7.241666666666667,0.0
ALABAMA,1994,6.175,0.0
ALABAMA,1995,5.833333333333333,0.0
ALABAMA,1996,5.208333333333333,0.0
ALABAMA,1997,4.933333333333333,0.0
ALABAMA,1998,4.458333333333333,0.0
ALABAMA,1999,4.7250000000000005,0.0
ALABAMA,2000,4.625,0.0
ALABAMA,2001,5.183333333333334,0.0
ALABAMA,2002,5.925000000000001,0.0
ALABAMA,2003,5.983333333333333,0.0
ALABAMA,2004,5.575,0.0
ALABAMA,2005,4.458333333333333,0.0
ALABAMA,2006,4.0,0.0
ALABAMA,2007,4.041666666666667,0.0
ALABAMA,2008,5.883333333333333,0.0
ALABAMA,2009,10.083333333333334,0.0
ALABAMA,2010,10.375,0.0
ALABAMA,2011,9.583333333333334,0.0
ALABAMA,2012,8.158333333333333,0.0
ALABAMA,2013,7.325,0.0
ALABAMA,2014,6.733333333333333,0.0
ALABAMA,2015,6.125,0.0
ALABAMA,2016,5.908333333333334,0.0
ALABAMA,2017,4.508333333333334,0.0
ALABAMA,2018,3.9416666666666664,0.0
ALABAMA,2019,3.1833333333333336,0.0
ALABAMA,2020,6.425,0.0
ALASKA,1976,7.566666666666666,2.8
ALASKA,1977,9.891666666666667,2.8
ALASKA,1978,10.633333333333333,2.8
ALASKA,1979,9.058333333333334,3.4
ALASKA,1980,9.533333333333333,3.6
ALASKA,1981,9.183333333333334,3.85
ALASKA,1982,10.058333333333334,3.85
ALASKA,1983,10.1,3.85
ALASKA,1984,9.891666666666667,3.85
ALASKA,1985,9.841666666666667,3.85
ALASKA,1986,11.1,3.85
ALASKA,1987,10.141666666666667,3.85
ALASKA,1988,8.733333333333333,3.85
ALASKA,1989,7.1000000000000005,3.85
ALASKA,1990,7.258333333333333,3.85
ALASKA,1991,8.341666666666667,4.3
ALASKA,1992,8.858333333333333,4.75
ALASKA,1993,7.8,4.75
ALASKA,1994,7.616666666666667,4.75
ALASKA,1995,7.325,4.75
ALASKA,1996,7.425,4.75
ALASKA,1997,6.933333333333334,5.25
ALASKA,1998,6.325,5.65
ALASKA,1999,6.408333333333334,5.65
ALASKA,2000,6.316666666666666,5.65
ALASKA,2001,6.283333333333334,5.65
ALASKA,2002,7.166666666666667,5.65
ALASKA,2003,7.683333333333334,7.15
ALASKA,2004,7.416666666666667,7.15
ALASKA,2005,6.933333333333334,7.15
ALASKA,2006,6.633333333333333,7.15
ALASKA,2007,6.258333333333333,7.15
ALASKA,2008,6.4750000000000005,7.15
ALASKA,2009,7.983333333333333,7.15
ALASKA,2010,8.133333333333333,7.75
ALASKA,2011,7.733333333333333,7.75
ALASKA,2012,7.25,7.75
ALASKA,2013,6.991666666666667,7.75
ALASKA,2014,6.741666666666667,7.75
ALASKA,2015,6.2749999999999995,8.75
ALASKA,2016,6.6000000000000005,9.75
ALASKA,2017,6.508333333333333,9.8
ALASKA,2018,6.041666666666667,9.84
ALASKA,2019,5.591666666666666,10.19
ALASKA,2020,8.308333333333334,10.19
ARIZONA,1976,9.758333333333333,0.0
ARIZONA,1977,8.4,0.0
ARIZONA,1978,5.95,0.0
ARIZONA,1979,5.075,0.0
ARIZONA,1980,6.608333333333333,0.0
ARIZONA,1981,6.191666666666666,0.0
ARIZONA,1982,9.958333333333334,0.0
ARIZONA,1983,9.108333333333333,0.0
ARIZONA,1984,4.958333333333333,0.0
ARIZONA,1985,6.358333333333333,0.0
ARIZONA,1986,7.05,0.0
ARIZONA,1987,6.508333333333333,0.0
ARIZONA,1988,6.408333333333334,0.0
ARIZONA,1989,5.241666666666666,0.0
ARIZONA,1990,5.216666666666667,0.0
ARIZONA,1991,5.858333333333333,0.0
ARIZONA,1992,7.566666666666666,0.0
ARIZONA,1993,6.366666666666667,0.0
ARIZONA,1994,6.191666666666666,0.0
ARIZONA,1995,5.3,0.0
ARIZONA,1996,5.491666666666667,0.0
ARIZONA,1997,4.625,0.0
ARIZONA,1998,4.2749999999999995,0.0
ARIZONA,1999,4.458333333333333,0.0
ARIZONA,2000,3.983333333333333,0.0
ARIZONA,2001,4.7250000000000005,0.0
ARIZONA,2002,6.141666666666667,0.0
ARIZONA,2003,5.783333333333334,0.0
ARIZONA,2004,4.966666666666667,0.0
ARIZONA,2005,4.666666666666667,0.0
ARIZONA,2006,4.308333333333334,0.0
ARIZONA,2007,3.75,6.75
ARIZONA,2008,5.791666666666667,6.9
ARIZONA,2009,9.666666666666666,7.25
ARIZONA,2010,10.299999999999999,7.25
ARIZONA,2011,9.433333333333334,7.35
ARIZONA,2012,8.35,7.65
ARIZONA,2013,7.816666666666666,7.8
ARIZONA,2014,6.791666666666667,7.9
ARIZONA,2015,6.075,8.05
ARIZONA,2016,5.483333333333333,8.05
ARIZONA,2017,4.9750000000000005,10.0
ARIZONA,2018,4.808333333333334,10.5
ARIZONA,2019,4.808333333333334,12.0
ARIZONA,2020,7.841666666666666,12.0
ARKANSAS,1976,6.916666666666667,1.9
ARKANSAS,1977,6.4750000000000005,1.9
ARKANSAS,1978,6.2250000000000005,1.9
ARKANSAS,1979,6.283333333333334,2.3
ARKANSAS,1980,7.533333333333334,2.55
ARKANSAS,1981,8.6,2.7
ARKANSAS,1982,9.466666666666667,2.7
ARKANSAS,1983,9.700000000000001,2.7
ARKANSAS,1984,8.533333333333333,2.7
ARKANSAS,1985,8.491666666666667,2.7
ARKANSAS,1986,8.541666666666666,2.7
ARKANSAS,1987,8.141666666666667,2.7
ARKANSAS,1988,7.7,3.25
ARKANSAS,1989,7.041666666666667,3.25
ARKANSAS,1990,6.875,3.25
ARKANSAS,1991,7.308333333333334,3.35
ARKANSAS,1992,7.0,3.65
ARKANSAS,1993,6.133333333333333,3.65
ARKANSAS,1994,5.441666666666666,4.25
ARKANSAS,1995,4.866666666666666,4.25
ARKANSAS,1996,5.166666666666667,4.25
ARKANSAS,1997,5.108333333333333,4.25
ARKANSAS,1998,5.05,5.15
ARKANSAS,1999,4.533333333333333,5.15
ARKANSAS,2000,4.175,5.15
ARKANSAS,2001,4.758333333333334,5.15
ARKANSAS,2002,5.333333333333333,5.15
ARKANSAS,2003,5.758333333333333,5.15
ARKANSAS,2004,5.583333333333333,5.15
